rider_id,name,signup_date,time,city,email
1,Rider_1,1/27/2024,3:31:00 PM,Calgary,user1@example.com
2,Rider_2,2/17/2022,1:47:00 AM,Calgary,user2@example.com
3,Rider_3,4/7/2022,11:53:00 PM,San Francisco,user3@example.com
4,Rider_4,5/30/2021,12:00:00 AM,Boston,user4@example.com
5,Rider_5,9/3/2022,8:27:00 AM,New York,user5@example.com
6,Rider_6,5/4/2023,8:54:00 PM,Ottawa,user6@example.com
7,Rider_7,8/27/2021,2:14:00 PM,Vancouver,user7@example.com
8,Rider_8,7/15/2022,12:40:00 PM,New York,user8@example.com
9,Rider_9,10/27/2022,6:18:00 AM,New York,user9@example.com
10,Rider_10,4/3/2022,1:35:00 PM,Toronto,user10@example.com
11,Rider_11,1/17/2023,3:56:00 AM,Ottawa,user11@example.com
12,Rider_12,5/31/2021,3:56:00 PM,Boston,user12@example.com
13,Rider_13,11/18/2021,11:45:00 AM,New York,user13@example.com
14,Rider_14,9/19/2023,9:28:00 AM,Chicago,user14@example.com
15,Rider_15,5/8/2021,6:47:00 AM,San Francisco,user15@example.com
16,Rider_16,6/29/2021,10:29:00 AM,Vancouver,user16@example.com
17,Rider_17,5/4/2024,6:19:00 AM,San Francisco,user17@example.com
18,Rider_18,1/2/2023,2:04:00 PM,Montreal,user18@example.com
19,Rider_19,10/24/2023,9:21:00 PM,Vancouver,user19@example.com
20,Rider_20,5/22/2021,1:49:00 PM,San Francisco,user20@example.com
21,Rider_21,8/26/2022,12:03:00 AM,Calgary,user21@example.com
22,Rider_22,7/31/2022,8:38:00 AM,Chicago,user22@example.com
23,Rider_23,7/28/2022,8:17:00 PM,Montreal,user23@example.com
24,Rider_24,11/24/2022,11:42:00 AM,Chicago,user24@example.com
25,Rider_25,2/14/2022,12:23:00 AM,New York,user25@example.com
26,Rider_26,12/24/2022,10:37:00 AM,Vancouver,user26@example.com
27,Rider_27,12/18/2021,10:55:00 AM,San Francisco,user27@example.com
